VARIABLES = "log_1_0(h)","log_1_0(Option 1)"
ZONE T = "P=0 Slope"
-0.840621	-1.86441
-1.14165	-2.16544
-1.44268	-2.46647
-1.74371	-2.7675
-2.04474	-3.06853
-2.34577	-3.36956




ZONE T = "P=1 Slope"
-1.14165	-2.51787
-1.44268	-3.11993
-1.74371	-3.72199
-2.04474	-4.32405
-2.34577	-4.92611
-2.6468	-5.52817


ZONE T = "P=2 Slope"
-1.31774	-3.28598
-1.61877	-4.18907
-1.9198	-5.09216
-2.22083	-5.99525
-2.52186	-6.89834
-2.82289	-7.80143



ZONE T = "P=3 Slope"
-1.44268	-3.80959
-1.74371	-5.01371
-2.04474	-6.21783
-2.34577	-7.42195
-2.6468	-8.62607



ZONE T = "P=4 Slope"
-1.53959	-4.72889
-1.84062	-6.23404
-2.14165	-7.73919
-2.44268	-9.24434



